,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
118,longyearbyen,SJ,78.2186,15.6401,24.64,93,75,6.91,broken clouds
119,rabaul,PG,-4.1967,152.1721,80.76,73,100,7.02,overcast clouds
120,lusaka,ZM,-15.4067,28.2871,64.27,98,100,4.07,overcast clouds
121,tezu,IN,27.9167,96.1667,62.51,49,100,2.73,overcast clouds
122,port blair,IN,11.6667,92.75,78.12,73,89,6.13,overcast clouds
123,vaini,TO,-21.2,-175.2,77.16,94,100,8.05,light intensity drizzle
124,soyo,AO,-6.1349,12.3689,77.52,88,100,6.06,overcast clouds
125,abu dhabi,AE,24.4667,54.3667,67.96,71,0,1.14,clear sky
126,fortuna,US,40.5982,-124.1573,66.92,50,0,1.01,clear sky
127,mecca,SA,21.4267,39.8261,74.93,73,1,2.95,clear sky
128,eugene,US,44.0521,-123.0867,51.35,66,4,2.89,clear sky
129,sitka,US,57.0531,-135.33,44.49,70,100,18.41,light rain
130,nikolskoye,RU,59.7035,30.7861,24.69,99,94,1.32,snow
131,klyuchi,RU,52.2667,79.1667,8.46,95,92,8.72,overcast clouds
132,xingyi,CN,24.1877,102.817,42.35,79,0,4.52,clear sky
133,seoul,KR,37.5683,126.9778,26.04,89,20,3.44,fog
134,sampit,ID,-2.5333,112.95,73.81,97,74,1.74,very heavy rain
135,vao,NC,-22.6667,167.4833,77.47,82,99,22.41,overcast clouds
136,kano,NG,12.0001,8.5167,67.89,32,0,4.61,clear sky
137,chardara,KZ,41.2547,67.9692,37.31,67,100,7.16,overcast clouds
138,torbay,CA,47.6666,-52.7314,27.28,75,75,1.99,broken clouds
139,georgetown,MY,5.4112,100.3354,80.53,79,20,0.0,few clouds
140,okakarara,NA,-20.5833,17.4333,69.76,75,98,9.57,moderate rain
141,praya,CV,14.9215,-23.5087,72.14,78,0,6.91,clear sky
142,sandpoint,US,48.2766,-116.5533,38.05,83,0,0.0,clear sky
143,cayenne,GF,4.9333,-52.3333,80.1,77,0,1.01,clear sky
144,denpasar,ID,-8.65,115.2167,74.86,94,20,2.3,few clouds
145,morondava,MG,-20.2833,44.2833,77.45,81,100,4.12,light rain
146,ishigaki,JP,24.3448,124.1572,66.33,88,75,21.85,broken clouds
147,manta,EC,-0.95,-80.7333,83.98,65,20,9.22,few clouds
148,zasechnoye,RU,53.1092,45.0764,18.68,42,100,13.06,overcast clouds
149,eyl,SO,7.9803,49.8164,74.52,73,14,17.49,few clouds
150,san patricio,US,28.017,-97.5169,79.21,70,93,17.18,overcast clouds
151,qaanaaq,GL,77.484,-69.3632,-0.24,71,95,7.63,overcast clouds
152,bengkulu,ID,-3.8004,102.2655,75.15,91,95,4.18,moderate rain
153,roald,NO,62.5833,6.1333,34.32,64,0,13.8,clear sky
154,semnan,IR,35.5729,53.3971,38.77,45,0,0.89,clear sky
155,nagapattinam,IN,10.7667,79.8333,74.59,82,48,8.23,scattered clouds
156,tairua,NZ,-37.0167,175.85,76.08,63,100,2.37,overcast clouds
157,atuona,PF,-9.8,-139.0333,78.94,72,16,19.3,few clouds
158,osvaldo cruz,BR,-21.7967,-50.8786,74.41,70,28,14.29,scattered clouds
159,dingle,PH,10.9995,122.6711,72.95,95,74,5.95,broken clouds
160,meulaboh,ID,4.1363,96.1285,74.41,96,100,3.71,overcast clouds
161,lufilufi,WS,-13.8745,-171.5986,87.58,71,82,6.11,light rain
162,nanakuli,US,21.3906,-158.1547,79.03,64,0,5.75,clear sky
163,beloha,MG,-25.1667,45.05,75.34,76,100,10.11,overcast clouds
164,neiafu,TO,-18.65,-173.9833,83.08,78,75,9.22,broken clouds
165,andrews,US,32.3187,-102.5457,48.65,26,0,17.27,clear sky
166,castro,BR,-24.7911,-50.0119,61.97,80,100,7.9,overcast clouds
167,zhigansk,RU,66.7697,123.3711,-30.62,95,83,19.53,broken clouds
168,victoria,HK,22.2855,114.1577,63.32,83,41,3.0,scattered clouds
169,chokurdakh,RU,70.6333,147.9167,-26.36,95,12,8.14,few clouds
170,poum,NC,-20.2333,164.0167,82.44,73,3,11.65,clear sky
171,marquette,US,46.5333,-87.6335,6.67,61,100,16.49,overcast clouds
172,terney,RU,45.0503,136.6092,4.95,71,0,9.95,clear sky
173,mendi,PG,-6.1761,143.6513,58.78,88,95,0.83,overcast clouds
174,namatanai,PG,-3.6667,152.4333,81.66,75,85,4.63,overcast clouds
175,hervey bay,AU,-25.2986,152.8535,80.02,78,66,4.0,broken clouds
176,calamar,CO,10.2511,-74.9146,87.75,46,87,15.66,overcast clouds
177,sayat,TM,38.7839,63.8803,26.47,40,100,4.83,overcast clouds
178,heinola,FI,61.2056,26.0381,17.69,97,64,3.69,broken clouds
179,tiangua,BR,-3.7322,-40.9917,73.78,60,100,2.39,overcast clouds
180,trincomalee,LK,8.5711,81.2335,79.45,77,88,10.58,overcast clouds
181,ilyich,KZ,40.8464,68.5067,37.45,61,94,2.71,overcast clouds
182,lagoa,PT,39.05,-27.9833,59.74,72,100,10.69,overcast clouds
183,belaya gora,RU,68.5333,146.4167,-35.09,100,61,4.34,broken clouds
184,mezen,RU,65.8522,44.24,3.06,96,80,10.02,broken clouds
185,puerto ayora,EC,-0.7393,-90.3518,80.56,79,85,8.05,overcast clouds
186,registro,BR,-24.4875,-47.8436,67.84,98,100,1.48,overcast clouds
187,zaysan,KZ,47.4667,84.8667,10.45,91,99,1.61,overcast clouds
188,camacha,PT,33.0833,-16.3333,62.02,82,40,9.22,scattered clouds
189,billericay,GB,51.6287,0.4196,40.46,89,43,1.99,scattered clouds
190,naze,JP,28.3667,129.4833,58.12,76,97,11.95,overcast clouds
191,saint george,US,37.1041,-113.5841,59.47,30,0,1.99,clear sky
192,vanimo,PG,-2.6741,141.3028,77.56,86,99,5.86,overcast clouds
193,paamiut,GL,61.994,-49.6678,12.51,79,100,26.08,overcast clouds
194,magadan,RU,59.5667,150.8,11.53,76,100,10.71,overcast clouds
195,yaring,TH,6.8662,101.3689,76.01,83,14,8.77,few clouds
196,kaeo,NZ,-35.1,173.7833,75.33,79,99,2.55,overcast clouds
197,jackson,US,42.4165,-122.8345,57.0,59,2,1.99,clear sky
198,rosh pinna,IL,32.9689,35.5426,49.35,75,55,2.71,broken clouds
199,alofi,NU,-19.0595,-169.9187,84.09,74,90,8.05,overcast clouds
200,hay river,CA,60.8156,-115.7999,-16.62,69,75,4.61,broken clouds
201,carnarvon,AU,-24.8667,113.6333,69.87,78,0,12.66,clear sky
202,okahandja,NA,-21.9833,16.9167,73.71,43,97,6.46,overcast clouds
203,thompson,CA,55.7435,-97.8558,-20.04,69,0,16.11,clear sky
204,raudeberg,NO,61.9875,5.1352,36.27,56,15,8.99,few clouds
205,dolores,AR,-36.3132,-57.6792,77.72,53,53,15.48,broken clouds
206,caravelas,BR,-17.7125,-39.2481,75.79,90,100,7.38,overcast clouds
207,xichang,CN,27.8964,102.2634,42.22,86,0,1.32,clear sky
208,ulladulla,AU,-35.35,150.4667,75.78,78,83,3.06,broken clouds
209,haines junction,CA,60.7522,-137.5108,-18.45,76,100,2.3,overcast clouds
210,faya,SA,18.3851,42.4509,57.31,55,3,2.1,clear sky
211,porto belo,BR,-27.1578,-48.5531,71.8,83,100,12.01,moderate rain
212,alekseyevsk,RU,57.8406,108.3492,-25.15,98,9,3.09,clear sky
213,sarangani,PH,5.4033,125.4636,81.34,79,90,16.53,overcast clouds
214,bilibino,RU,68.0546,166.4372,-15.2,97,67,2.01,broken clouds
215,sakakah,SA,29.9697,40.2064,63.97,39,98,9.44,overcast clouds
216,arraial do cabo,BR,-22.9661,-42.0278,71.56,88,100,2.3,light intensity drizzle
217,pisco,PE,-13.7,-76.2167,78.85,65,0,20.71,clear sky
218,lompoc,US,34.6391,-120.4579,72.01,70,0,10.36,clear sky
219,belgrade,RS,44.804,20.4651,31.66,85,100,1.01,overcast clouds
220,kununurra,AU,-15.7667,128.7333,82.38,89,40,8.05,scattered clouds
221,kruisfontein,ZA,-34.0033,24.7314,65.88,86,91,21.7,overcast clouds
222,tevaitoa,PF,-16.7833,-151.5,81.19,72,67,2.48,broken clouds
223,sao joao da barra,BR,-21.6403,-41.0511,71.69,97,100,10.65,overcast clouds
224,wegorzewo,PL,54.2157,21.7372,22.42,88,16,3.94,few clouds
225,keetmanshoop,NA,-26.5833,18.1333,74.28,62,80,4.59,broken clouds
226,geraldton,AU,-28.7667,114.6,57.61,88,0,6.91,clear sky
227,adrar,MR,20.5022,-10.0711,60.82,11,99,10.09,overcast clouds
228,fare,PF,-16.7,-151.0167,81.03,73,83,0.72,broken clouds
229,vardo,NO,70.3705,31.1107,22.75,66,100,14.38,overcast clouds
230,fort thomas,US,39.0751,-84.4472,37.92,65,100,1.01,overcast clouds
231,daphne,US,30.6035,-87.9036,75.09,66,100,8.05,overcast clouds
232,kholtoson,RU,50.2981,103.3097,-7.98,96,14,4.12,few clouds
233,bethel,US,41.3712,-73.414,39.78,84,100,10.0,overcast clouds
234,dikson,RU,73.5069,80.5464,-5.3,98,100,9.84,overcast clouds
235,omboue,GA,-1.5746,9.2618,77.67,89,100,5.3,light rain
236,narsaq,GL,60.9167,-46.05,11.91,91,100,2.06,overcast clouds
237,tadine,NC,-21.55,167.8833,80.04,78,5,21.74,clear sky
238,sal rei,CV,16.1833,-22.9167,72.16,67,100,7.4,overcast clouds
239,nuuk,GL,64.1835,-51.7216,9.43,90,100,6.08,light snow
240,ponta do sol,PT,32.6667,-17.1,66.13,37,98,10.6,overcast clouds
241,half moon bay,US,37.4636,-122.4286,67.21,64,0,5.75,clear sky
242,kiruna,SE,67.8557,20.2251,4.12,85,100,3.44,overcast clouds
243,dongning,CN,44.0622,131.1207,-8.64,93,8,3.04,clear sky
244,san pedro de lloc,PE,-7.4328,-79.5058,75.2,68,83,16.42,broken clouds
245,tuatapere,NZ,-46.1333,167.6833,62.82,84,93,1.21,overcast clouds
246,gat,IL,31.61,34.7642,57.4,33,50,9.42,scattered clouds
247,komsomolskiy,UZ,40.4272,71.7189,39.92,60,75,2.3,haze
248,bambari,CF,5.768,20.6757,88.23,24,96,2.01,overcast clouds
249,port macquarie,AU,-31.4333,152.9167,77.9,73,38,8.7,scattered clouds
250,aguas belas,BR,-9.1114,-37.1231,82.65,48,98,16.33,overcast clouds
251,codrington,AU,-38.2667,141.9667,67.32,59,59,8.01,broken clouds
252,awbari,LY,26.5921,12.7805,45.55,35,0,7.56,clear sky
253,umarkot,PK,25.3616,69.7362,59.2,50,0,7.36,clear sky
254,nola,IT,40.922,14.5329,48.54,91,98,2.01,overcast clouds
255,henties bay,NA,-22.116,14.2845,63.86,93,28,5.1,scattered clouds
256,xining,CN,36.6167,101.7667,18.84,66,77,1.92,broken clouds
257,khani,GE,41.9563,42.9566,45.97,63,80,8.46,broken clouds
258,mayo,US,38.8876,-76.5119,43.25,92,100,4.0,moderate rain
259,te anau,NZ,-45.4167,167.7167,65.61,70,84,3.04,broken clouds
260,aranos,NA,-24.1333,19.1167,68.32,83,93,10.74,moderate rain
261,warrington,GB,53.3925,-2.5802,45.63,89,40,1.01,scattered clouds
262,pangnirtung,CA,66.1451,-65.7125,-18.4,69,0,0.0,clear sky
263,sinnamary,GF,5.3833,-52.95,76.32,81,100,7.54,overcast clouds
264,schwaigern,DE,49.1439,9.055,39.18,88,46,2.91,scattered clouds
265,asmar,AF,35.0333,71.3581,42.66,48,87,4.83,overcast clouds
266,lingion,PH,8.1881,124.6097,67.62,96,85,2.53,overcast clouds
267,rio claro,BR,-22.4114,-47.5614,67.82,95,100,9.1,overcast clouds
268,sudogda,RU,55.9539,40.8629,20.66,96,100,7.36,snow
269,mehamn,NO,71.0357,27.8492,26.51,80,100,13.42,overcast clouds
270,fuerte olimpo,PY,-21.0415,-57.8738,91.65,37,41,4.47,scattered clouds
271,khatanga,RU,71.9667,102.5,-22.07,100,36,4.63,scattered clouds
272,belawan,ID,3.7755,98.6832,77.29,93,64,5.73,broken clouds
273,ola,RU,59.5833,151.2833,12.15,81,100,10.45,overcast clouds
274,buala,SB,-8.145,159.5921,82.4,80,84,6.64,light rain
275,minab,IR,27.1467,57.0801,51.3,35,0,4.68,clear sky
276,belovo,RU,54.4165,86.2976,13.21,85,74,16.33,broken clouds
277,abnub,EG,27.2696,31.1511,52.02,38,81,7.94,broken clouds
278,chenghai,CN,23.4632,116.768,58.91,77,75,2.24,broken clouds
279,cabo san lucas,MX,22.8909,-109.9124,82.62,73,75,5.01,broken clouds
280,predivinsk,RU,57.0669,93.4378,25.81,87,100,11.95,overcast clouds
281,san juan,AR,-31.5375,-68.5364,98.6,18,78,10.76,broken clouds
282,maralal,KE,1.0968,36.698,58.15,71,7,4.43,clear sky
283,goderich,CA,43.7501,-81.7165,27.91,80,100,20.71,overcast clouds
284,alihe,CN,50.5667,123.7167,-8.86,97,100,2.84,overcast clouds
285,pokosnoye,RU,55.5258,101.0536,-6.5,98,100,2.55,overcast clouds
286,verkhnevilyuysk,RU,63.4453,120.3167,-31.16,97,7,3.87,clear sky
287,srednekolymsk,RU,67.45,153.6833,-16.24,98,100,5.86,overcast clouds
288,san-pedro,CI,4.7485,-6.6363,80.31,84,97,7.29,overcast clouds
289,madang,PG,-5.2246,145.7966,77.09,90,98,7.14,overcast clouds
290,sembe,CG,1.6481,14.5806,82.26,45,98,2.86,overcast clouds
291,oyama,JP,36.3,139.8,46.58,59,89,4.97,overcast clouds
292,huancavelica,PE,-12.7667,-74.9833,43.79,77,92,2.06,overcast clouds
293,tautira,PF,-17.7333,-149.15,84.22,79,99,28.7,light rain
294,karasjok,NO,69.4719,25.5112,6.91,100,90,3.67,overcast clouds
295,saint albans,GB,51.75,-0.3333,38.89,95,40,4.61,scattered clouds
296,miracema do tocantins,BR,-9.5618,-48.3967,73.2,93,100,2.33,overcast clouds
297,chara,RU,56.9064,118.2631,-26.5,88,37,0.87,scattered clouds
