City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
117,bredasdorp,ZA,69.12,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
119,rabaul,PG,80.76,overcast clouds,-4.1967,152.1721,Rabaul Hotel
120,lusaka,ZM,64.27,overcast clouds,-15.4067,28.2871,"Radisson Blu Hotel, Lusaka"
121,tezu,IN,62.51,overcast clouds,27.9167,96.1667,Circuit House
122,port blair,IN,78.12,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
123,vaini,TO,77.16,light intensity drizzle,-21.2,-175.2,Keleti Beach Resort
124,soyo,AO,77.52,overcast clouds,-6.1349,12.3689,Hotel Mpampa
125,abu dhabi,AE,67.96,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
126,fortuna,US,66.92,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
127,mecca,SA,74.93,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
128,eugene,US,51.35,clear sky,44.0521,-123.0867,Valley River Inn
129,sitka,US,44.49,light rain,57.0531,-135.33,Westmark Sitka
134,sampit,ID,73.81,very heavy rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
135,vao,NC,77.47,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
136,kano,NG,67.89,clear sky,12.0001,8.5167,Havana Guest Inn
139,georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
141,praya,CV,72.14,clear sky,14.9215,-23.5087,LT Aparthotel
143,cayenne,GF,80.1,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
144,denpasar,ID,74.86,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
145,morondava,MG,77.45,light rain,-20.2833,44.2833,La Case Bambou
146,ishigaki,JP,66.33,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
147,manta,EC,83.98,few clouds,-0.95,-80.7333,Balandra Hotel
149,eyl,SO,74.52,few clouds,7.9803,49.8164,Amiin Hotel
150,san patricio,US,79.21,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
152,bengkulu,ID,75.15,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
155,nagapattinam,IN,74.59,scattered clouds,10.7667,79.8333,Sathya Lodge
156,tairua,NZ,76.08,overcast clouds,-37.0167,175.85,Pacific Harbour Villas
157,atuona,PF,78.94,few clouds,-9.8,-139.0333,Villa Enata
158,osvaldo cruz,BR,74.41,scattered clouds,-21.7967,-50.8786,Grande Hotel Esplanada
